timestamp,sensor_id,temperature_c,humidity_pct,pressure_kpa,battery_v,status
2024-06-01 00:00:00,S104,23.89,59.2,101.25,3.74,warning
2024-06-01 00:30:00,S104,27.27,60.9,100.68,3.7,error
2024-06-01 01:00:00,S102,21.51,48.5,101.77,3.7,error
2024-06-01 01:30:00,S104,23.71,66.0,100.83,3.68,error
2024-06-01 02:00:00,S101,19.39,60.7,100.37,3.38,normal
2024-06-01 02:30:00,S101,21.3,57.3,101.34,3.92,normal
2024-06-01 03:00:00,S103,23.87,60.5,100.92,3.88,warning
2024-06-01 03:30:00,S104,18.29,44.2,102.1,3.8,warning
2024-06-01 04:00:00,S101,21.76,57.3,101.35,3.74,normal
2024-06-01 04:30:00,S104,25.75,54.3,101.28,3.95,normal
2024-06-01 05:00:00,S103,18.75,65.9,101.6,3.6,normal
2024-06-01 05:30:00,S103,19.2,58.1,100.14,3.84,normal
2024-06-01 06:00:00,S102,18.48,55.2,101.84,3.62,normal
2024-06-01 06:30:00,S104,25.58,60.2,101.58,3.53,normal
2024-06-01 07:00:00,S101,25.87,60.7,101.06,3.89,warning
2024-06-01 07:30:00,S102,20.97,48.1,102.27,3.78,normal
2024-06-01 08:00:00,S104,20.71,77.1,101.49,3.68,warning
2024-06-01 08:30:00,S103,17.02,53.9,101.37,3.73,error
2024-06-01 09:00:00,S104,23.09,55.6,101.39,3.56,warning
2024-06-01 09:30:00,S101,18.43,47.6,101.76,3.65,normal
2024-06-01 10:00:00,S102,19.03,53.5,101.08,3.61,normal
2024-06-01 10:30:00,S101,21.68,45.6,100.81,3.83,normal
2024-06-01 11:00:00,S103,21.41,49.7,100.71,3.55,warning
2024-06-01 11:30:00,S102,26.21,65.9,100.28,3.8,warning
2024-06-01 12:00:00,S101,24.92,35.5,102.04,3.68,normal
2024-06-01 12:30:00,S103,26.54,45.1,101.03,3.37,normal
2024-06-01 13:00:00,S103,20.48,54.8,101.38,3.78,warning
2024-06-01 13:30:00,S101,19.49,63.0,99.9,3.79,normal
2024-06-01 14:00:00,S101,24.77,58.2,101.18,3.53,warning
2024-06-01 14:30:00,S104,22.52,52.2,102.01,3.66,warning
2024-06-01 15:00:00,S104,20.83,48.3,101.93,3.52,error
2024-06-01 15:30:00,S102,22.18,50.8,100.29,3.69,normal
